Family,Region,True pole,Collective fitted pole,Single fitted pole,True start,Collective fitted start,Single fitted start
22,6,-3.900736086520353,-0.8,-0.8,210,189,219
23,1,-4.380462780452935,-3.2772850824025843,-17.219213869646232,0,0,0
23,2,-3.0758934408517313,-0.8,-0.8,63,57,42
23,3,-2.597599218981048,-0.8691904419222768,-5.390933205247584,89,93,81
23,4,-22.477448528920892,-22.084531217233312,-0.9443650304113036,127,129,123
23,5,-7.301630958397605,-0.8,-0.8,171,162,150
23,6,-3.594911826127526,-0.8,-36.32770102930122,206,198,183
24,1,-4.86570587354128,-3.868691783137035,-4.961797042613721,0,0,0
24,2,-5.67050623060921,-2.5552850631330246,-10.467997023365006,31,30,30
24,3,-5.189233665668035,-4.961797042613721,-3.2772850824025843,58,60,54
